ID,ID (letter),Name,Year of initial milestone,Number of stations,Project type,Funding program,Sponsor_1,Sponsor ID_1,Sponsor_2,Sponsor ID_2,City,State,Mode,Author
416,,Second Avenue Subway,PP22,PP22,PP22,PP22,,NTD,,,PP22,PP22,PP22,cox
417,,Canarsie Line Power Improvements,PP16,PP16,PP16,PP16,,NTD,,,PP16,PP16,PP16,cox
418,,Woodhaven Boulevard Select Bus Service,PP19,PP19,PP19,PP19,,NTD,,,PP19,PP19,PP19,cox
419,,Washington/Western Bus Rapid Transit Line,PP17,PP17,PP17,PP17,,NTD,,,PP17,PP17,PP17,cox
420,,River Corridor/Blue Line Bus Rapid Transit ,PP15,PP15,PP15,PP15,,NTD,,,PP15,PP15,PP15,cox
421,,Hudson Tunnel,PP21,PP21,PP21,PP21,,NTD,,,PP21,PP21,PP21,cox
422,,Dallas North Central Corridor LRT,AR97,AR97,AR97,AR97,,NTD,,,AR97,AR97,AR97,cox
423,,Dallas Trinity Railtran Phase 2,AR97,AR01,AR97,AR97,,NTD,,,AR97,AR97,AR97,cox
424,,Dallas South Oak Cliff Corridor,Spielberg,Spielberg,Spielberg,Spielberg,,NTD,,,Spielberg,Spielberg,Spielberg,cox
425,,Dallas Northwest / Southeast LRT MOS ,BA15,BA15,BA15,BA15,,NTD,,,BA15,BA15,BA15,cox
426,,Dallas Red and Blue Line Platform Extensions,PP18,PP18,PP18,PP18,,NTD,,,PP18,PP18,PP18,cox
427,,Dallas CBD Second Light Rail Alignment (D2 Subway),PP15,PP15,PP15,PP15,,NTD,,,PP15,PP15,PP15,cox
428,,Houston Regional Bus Plan ,AR97,AR97,AR97,AR97,,NTD,,,AR97,AR97,AR97,cox
429,,Houston North Corridor LRT,AR07,AR07,AR07,AR07,,NTD,,,AR07,AR07,AR07,cox
430,,Houston Southeast Corridor LRT,AR13,AR13,AR13,AR13,,NTD,,,AR13,AR13,AR13,cox
431,,Houston University Corridor LRT,AR13,AR13,AR13,AR13,,NTD,,,AR13,AR13,AR13,cox
432,,Houston Downtown to Astrodome Light Rail,AR01,AR01,AR01,AR01,,NTD,,,AR01,AR01,AR01,cox
433,,Northwest/North Central Corridor ,AR00,AR01,AR00,AR01,,NTD,,,AR00,AR00,AR00,cox
434,,Austin Light Rail Corridors,AR01,AR01,AR01,AR01,,NTD,,,AR01,AR01,AR01,cox
435,,MetroRapid Bus Rapid Transit Project ,BA18,BA18,BA18,BA18,,NTD,,,BA18,BA18,BA18,cox
436,,Dyer Avenue Bus Rapid Transit System,AR13,AR13,AR13,AR13,,NTD,,,AR13,AR13,AR13,cox
437,,Montana Avenue Rapid Transit System,PP14,PP14,PP14,PP14,,NTD,,,PP14,PP14,PP14,cox
438,,Sun Metro Areas Rapid Transit (SMART) Starter Line ,AR05,AR05,AR05,AR05,,NTD,,,AR05,AR05,AR05,cox
439,,TEX Rail,PP20,PP20,PP20,PP20,,NTD,,,PP20,PP20,PP20,cox
440,,San Antonio Modern Streetcar Project,PP14,PP14,PP14,PP14,,NTD,,,PP14,PP14,PP14,cox
441,,Rail Trolley Extension ,AR01,AR01,AR01,AR01,,NTD,,,AR01,AR01,AR01,cox
442,,Waco Rapid Transit Corridor,PP19,PP19,PP19,PP19,,NTD,,,PP19,PP19,PP19,cox
443,,Denver SW Corridor LRT,AR97,AR97,AR97,AR97,,NTD,,,AR97,AR97,AR97,cox
444,,Denver West Corridor LRT,AR02,AR02,AR02,AR02,,NTD,,,AR02,AR02,AR02,cox
445,,Denver Eagle Commuter Rail (East Corridor and Gold Line),PP17,PP17,PP17,PP17,,NTD,,,PP17,PP17,PP17,cox
446,,Denver Southeast Corridor LRT ,AR01,AR01,AR01,AR01,,NTD,,,AR01,AR01,AR01,cox
447,,Denver Southeast Rail Extension,PP15,PP15,PP15,PP15,,NTD,,,PP15,PP15,PP15,cox
