ID,ID (letter),Name,Year of initial milestone,Number of stations,Project type,Funding program,City,State,Mode,Author
433,,Northwest/North Central Corridor ,1999,9,Introduction,New Starts,Austin,TX,LRT,cox
434,,Austin Light Rail Corridors,1997,NA,Introduction,New Starts,Austin,TX,LRT,cox
435,,MetroRapid Bus Rapid Transit Project ,2009,77,Introduction,Small Starts,Austin,TX,BRT,cox
436,,Dyer Avenue Bus Rapid Transit System,2011,12,Introduction,Small Starts,El Paso,TX,BRT,cox
437,,Montana Avenue Rapid Transit System,2013,15,Improvement,Small Starts,El Paso,TX,BRT,cox
438,,Sun Metro Areas Rapid Transit (SMART) Starter Line ,2003,NAV,Introduction,New Starts,El Paso,TX,LRT,cox
439,,TEX Rail,2012,9,Introduction,New Starts,Fort Worth,TX,Commuter Rail,cox
440,,San Antonio Modern Streetcar Project,2013,NAV,Introduction,Small Starts,San Antonio,TX,Streetcar,cox
441,,Rail Trolley Extension ,2001,NAV,Expansion,New Starts,Galveston,TX,Streetcar,cox
442,,Waco Rapid Transit Corridor,2018,17,Introduction,Small Starts,Waco,TX,BRT,cox
443,,Denver SW Corridor LRT,1996,5,Expansion,New Starts,Denver,CO,LRT,cox
444,,Denver West Corridor LRT,2001,14,Expansion,New Starts,Denver,CO,LRT,cox
445,,Denver Eagle Commuter Rail (East Corridor and Gold Line),2009,13,Introduction,New Starts,Denver,CO,Commuter Rail,cox
446,,Denver Southeast Corridor LRT ,1998,14,Expansion,New Starts,Denver,CO,LRT,cox
447,,Denver Southeast Rail Extension,2013,3,Expansion,New Starts,Denver,CO,LRT,cox
501,,Douglas Branch Reconstruction,1999,11,Improvement,New Starts,Chicago,IL,Heavy Rail,zi
502,,Union-Pacific West Line Extension,1998,2,Expansion,New Starts,Chicago,IL,Commuter Rail,zi
503,,Little Rock River Rail Project,1998,7,Introduction,New Starts,Little Rock,AR,Streetcar,zi
504,,Central Phoenix East Valley Light Rail,1998,28,Introduction,New Starts,Phoenix,AZ,LRT,zi
505,,South Central Phoenix LRT/Downtown Hub,2017,9,Expansion,New Starts,Phoenix,AZ,LRT,zi
506,,Northwest Phase II LRT Extension,2017,3,Expansion,New Starts,Phoenix,AZ,LRT,zi
